"dates","titles","end_price","start_price","high_price","low_price","amount"
"2013-02-26","SK종합화학, 중국 고부가 화학시장 공략",177000,175000,178500,173500,211217
"2013-02-27",NA,175500,177000,177500,174500,216162
"2013-02-28",NA,178000,178000,179000,177000,299533
"2013-03-01","SK이노베이션, 신임 사내이사 후보에 김창근 의장 추천",NA,NA,NA,NA,NA
"2013-03-04",NA,175500,177000,178000,173500,330562
"2013-03-05",NA,172000,175000,176500,171500,421790
"2013-03-06",NA,170000,173000,173500,169500,348142
"2013-03-07",NA,169500,170500,171000,168000,216656
"2013-03-08",NA,169000,170000,171000,168000,210507
"2013-03-11",NA,169000,168500,172500,168000,328962
"2013-03-12",NA,167500,170500,171000,167000,245031
"2013-03-13",NA,169000,168500,170000,167500,220848
"2013-03-14",NA,167000,169000,169500,165500,292171
"2013-03-15",NA,165000,169000,169500,165000,276792
"2013-03-18",NA,162500,163500,166000,161000,297064
"2013-03-19",NA,163000,163500,166000,163000,226334
"2013-03-20",NA,159500,163000,163000,157500,431722
"2013-03-21",NA,160000,159500,161500,158500,242899
"2013-03-22","SK이노베이션, 정기 주주총회 개최",159000,158500,161000,158000,280595
"2013-03-25",NA,160000,161000,161500,159000,169416
"2013-03-26",NA,160000,159000,161000,158500,235125
"2013-03-27",NA,164000,161500,165000,160000,340687
"2013-03-28",NA,162500,164000,164500,161500,207345
"2013-03-29",NA,162000,164500,165000,162000,175768
"2013-04-01",NA,161000,162500,162500,159000,150222
"2013-04-02",NA,158000,160000,160500,157000,240023
"2013-04-03",NA,156500,158000,158000,154000,322887
"2013-04-04",NA,153500,154500,155500,153000,293209
"2013-04-05",NA,151000,153000,154500,149000,334421
"2013-04-08",NA,152000,150000,152500,149000,203232
"2013-04-09",NA,149500,150000,153500,147000,364230
"2013-04-10",NA,151000,150500,152000,146500,508194
"2013-04-11","SK이노베이션, LG화학 상대 특허분쟁 승소",151000,152000,153000,148500,361154
"2013-04-12",NA,146000,152500,153000,144500,587493
"2013-04-15",NA,145500,146000,148000,141000,397020
"2013-04-16",NA,141000,139500,142500,139500,677700
"2013-04-17",NA,142000,141500,143000,136500,611777
"2013-04-18",NA,140500,140500,143000,139000,355323
"2013-04-19","SK이노베이션, 서울시민에게 꽃길을 선물하다",144000,140500,145500,139500,423573
"2013-04-22","SK이노베이션, 중국 전기차 배터리 시장 진출",143000,143000,144500,139500,420413
"2013-04-23",NA,142000,145000,146500,141500,253087
"2013-04-24","그 봄, SK주유소에 ‘행복 꽃씨’가 흩날린다",145500,144000,148000,143500,394822
"2013-04-25",NA,152000,147500,152500,147000,494114
"2013-04-26","SK이노베이션, 1분기 매출 18조 1,082억원, 영업이익 6,975억원",149500,152000,153500,148500,270851
"2013-04-29",NA,146000,149000,149500,143000,376614
"2013-04-30",NA,150000,148000,150000,146500,321169
"2013-05-02",NA,145500,147500,148500,144500,450917
"2013-05-03",NA,145500,147500,148000,144000,313461
